GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
50710,JP Morgan - AUD,550385,202001,-390217.24
50710,JP Morgan - AUD,550385,202002,230944.09
50710,JP Morgan - AUD,550385,202003,367259.69
50710,JP Morgan - AUD,550385,202004,567962.85
50710,JP Morgan - AUD,550385,202005,753175.6
50710,JP Morgan - AUD,550385,202006,-907767.48
50710,JP Morgan - AUD,550385,202007,-52225619.9
50710,JP Morgan - AUD,550385,202008,631666.06
50710,JP Morgan - AUD,550385,202009,-792896.76
50710,JP Morgan - AUD,550385,202010,430847.59
50710,JP Morgan - AUD,550385,202011,5159146.7
50710,JP Morgan - AUD,550385,202012,-2087233.74
50710,JP Morgan - AUD,550385,202101,-245984.37
50710,JP Morgan - AUD,550385,202102,-38935553.25
50710,JP Morgan - AUD,550385,202103,428249.08
50710,JP Morgan - AUD,550385,202104,-115713.12
50710,JP Morgan - AUD,550385,202105,-14276643.88
50710,JP Morgan - AUD,550385,202106,-697240.37
50710,JP Morgan - AUD,550385,202107,-22280111.08
50710,JP Morgan - AUD,550385,202108,-360576.62
50710,JP Morgan - AUD,550385,202109,139595.83
50710,JP Morgan - AUD,550385,202110,-480223.38
50710,JP Morgan - AUD,550385,202111,-23088962.89
50710,JP Morgan - AUD,550385,202112,716203.02
50710,JP Morgan - AUD,550385,202201,-6875640.77
50710,JP Morgan - AUD,550385,202202,-7019373.45
50710,JP Morgan - AUD,550385,202203,-1224536.61
50710,JP Morgan - AUD,550385,202204,-6652150.09
50710,JP Morgan - AUD,550385,202205,-55060175.7
50710,JP Morgan - AUD,550385,202206,-8709343.48
50710,JP Morgan - AUD,550385,202207,-9660600.69
50710,JP Morgan - AUD,550385,202208,-7795397.97
50710,JP Morgan - AUD,550385,202209,-6134200.61
50710,JP Morgan - AUD,550385,202210,-6121497.8
50710,JP Morgan - AUD,550385,202211,-6986934.77
50710,JP Morgan - AUD,550385,202212,-9072316.68
50710,JP Morgan - AUD,550385,202301,-4278051.09
50710,JP Morgan - AUD,550385,201802,-4836226.03
50710,JP Morgan - AUD,550385,202303,-4326717.31
50710,JP Morgan - AUD,550385,202304,-6488703.81
50710,JP Morgan - AUD,550385,202305,-5740694.7
50710,JP Morgan - AUD,550385,202306,-3424505.16
50710,JP Morgan - AUD,550385,201807,-8528302.17
50710,JP Morgan - AUD,550385,202308,-4253688.58
50710,JP Morgan - AUD,550385,202309,-6473005.13
50710,JP Morgan - AUD,550385,202310,-2451870.03
50710,JP Morgan - AUD,550385,202311,-11543984.42
50710,JP Morgan - AUD,550385,202312,-715986.36
50710,JP Morgan - AUD,550385,202401,-9641525.96
50710,JP Morgan - AUD,550385,202402,-7660351.72
50710,JP Morgan - AUD,550385,202403,-3513628.76
50710,JP Morgan - AUD,550385,202404,-5197574.38
50710,JP Morgan - AUD,550385,202405,-3535437.23
50710,JP Morgan - AUD,550385,202406,-7657768.05
112010,JP Morgan - USD,550406,202001,5722327.32
112010,JP Morgan - USD,550406,202002,-158189973.6
112010,JP Morgan - USD,550406,202003,3467850.66
112010,JP Morgan - USD,550406,202004,90814.02
112010,JP Morgan - USD,550406,202005,4111421.84
112010,JP Morgan - USD,550406,202006,-2268626.43
112010,JP Morgan - USD,550406,202007,-98459357.93
112010,JP Morgan - USD,550406,202008,-263197.34
112010,JP Morgan - USD,550406,202009,-156317431.1
112010,JP Morgan - USD,550406,202010,6542232.64
112010,JP Morgan - USD,550406,202011,6906626.34
112010,JP Morgan - USD,550406,202012,-70698612.86
112010,JP Morgan - USD,550406,202101,87747559.9
112010,JP Morgan - USD,550406,202102,47170041.97
112010,JP Morgan - USD,550406,202103,5249369.82
112010,JP Morgan - USD,550406,202104,10017396.11
112010,JP Morgan - USD,550406,202105,-4238053.65
112010,JP Morgan - USD,550406,202106,-8622554.97
112010,JP Morgan - USD,550406,202107,36285852.26
112010,JP Morgan - USD,550406,202108,-17835228.94
112010,JP Morgan - USD,550406,202109,-438065446.2
112010,JP Morgan - USD,550406,202110,2714690.85
112010,JP Morgan - USD,550406,202111,-39629158.81
112010,JP Morgan - USD,550406,202112,-24695428.35
112010,JP Morgan - USD,550406,202201,-55848910.68
112010,JP Morgan - USD,550406,202202,-3152210.63
112010,JP Morgan - USD,550406,202203,-73100400.22
112010,JP Morgan - USD,550406,202204,-66078528.85
112010,JP Morgan - USD,550406,202205,-5554890.92
112010,JP Morgan - USD,550406,202206,-40507892.97
112010,JP Morgan - USD,550406,202207,21317960.49
112010,JP Morgan - USD,550406,202208,-114364089.7
112010,JP Morgan - USD,550406,202209,-84576161.15
112010,JP Morgan - USD,550406,202210,-100947966
112010,JP Morgan - USD,550406,202211,-81433003.31
112010,JP Morgan - USD,550406,202212,-109210830.4
112010,JP Morgan - USD,550406,202301,-151878654.6
112010,JP Morgan - USD,550406,201802,-87842041.55
112010,JP Morgan - USD,550406,202303,-71683708.89
112010,JP Morgan - USD,550406,202304,-120477287.3
112010,JP Morgan - USD,550406,202305,-154943411.8
112010,JP Morgan - USD,550406,202306,-84809594.4
112010,JP Morgan - USD,550406,201807,-215509360
112010,JP Morgan - USD,550406,202308,-114686383.5
112010,JP Morgan - USD,550406,202309,-161994596.6
112010,JP Morgan - USD,550406,202310,-109225265
112010,JP Morgan - USD,550406,202311,-225544615.2
112010,JP Morgan - USD,550406,202312,-183909932.1
112010,JP Morgan - USD,550406,202401,-228618459.5
112010,JP Morgan - USD,550406,202402,-189144797.1
112010,JP Morgan - USD,550406,202403,-163112269.2
112010,JP Morgan - USD,550406,202404,-189275840.4
112010,JP Morgan - USD,550406,202405,-119491686.6
112010,JP Morgan - USD,550406,202406,-149943234.7
59610,"JPMorgan Chase, Sydney",661926,202001,21329887.11
59610,"JPMorgan Chase, Sydney",661926,202002,-44748180.21
59610,"JPMorgan Chase, Sydney",661926,202003,-61227281.77
59610,"JPMorgan Chase, Sydney",661926,202004,-34176463.11
59610,"JPMorgan Chase, Sydney",661926,202005,15960243.08
59610,"JPMorgan Chase, Sydney",661926,202006,15165564.85
59610,"JPMorgan Chase, Sydney",661926,202007,40566438.63
59610,"JPMorgan Chase, Sydney",661926,202008,25465466.46
59610,"JPMorgan Chase, Sydney",661926,202009,3372282.75
59610,"JPMorgan Chase, Sydney",661926,202010,4177440.71
59610,"JPMorgan Chase, Sydney",661926,202011,-36045068.42
59610,"JPMorgan Chase, Sydney",661926,202012,-2603443.55
59610,"JPMorgan Chase, Sydney",661926,202101,32291483.27
59610,"JPMorgan Chase, Sydney",661926,202102,-86130378.1
59610,"JPMorgan Chase, Sydney",661926,202103,-21900729.59
59610,"JPMorgan Chase, Sydney",661926,202104,46270418.4
59610,"JPMorgan Chase, Sydney",661926,202105,-17251245.55
59610,"JPMorgan Chase, Sydney",661926,202106,-22812685.45
59610,"JPMorgan Chase, Sydney",661926,202107,-23188022.71
59610,"JPMorgan Chase, Sydney",661926,202108,-11495664.13
59610,"JPMorgan Chase, Sydney",661926,202109,-25354832.79
59610,"JPMorgan Chase, Sydney",661926,202110,8634732.58
59610,"JPMorgan Chase, Sydney",661926,202111,23103469.55
59610,"JPMorgan Chase, Sydney",661926,202112,27896134.41
59610,"JPMorgan Chase, Sydney",661926,202201,-160082259.6
59610,"JPMorgan Chase, Sydney",661926,202202,-15838783.58
59610,"JPMorgan Chase, Sydney",661926,202203,1647040.99
59610,"JPMorgan Chase, Sydney",661926,202204,40353974.09
59610,"JPMorgan Chase, Sydney",661926,202205,4336075.06
59610,"JPMorgan Chase, Sydney",661926,202206,-27458457.54
59610,"JPMorgan Chase, Sydney",661926,202207,-43724437.89
59610,"JPMorgan Chase, Sydney",661926,202208,1472312.39
59610,"JPMorgan Chase, Sydney",661926,202209,13652786.96
59610,"JPMorgan Chase, Sydney",661926,202210,15784851.4
